,puuid,champion,championLevel,championPoints,lastPlayTime,pointsSinceLastLevel,pointsUntilNextLevel,tokensEarned,markRequiredForNextLevel,seasonMilestone
34,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,202,4,27004,2024-12-23 21:23:34,14404,-5404,0,1,0
35,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,804,5,24986,2025-09-06 21:50:05,3386,6614,10,1,3
36,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,42,5,24351,2025-02-26 22:05:33,2751,7249,6,1,0
37,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,69,5,23891,2025-05-06 20:01:26,2291,7709,2,1,0
38,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,91,5,22968,2025-04-02 22:08:26,1368,8632,0,1,0
39,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,266,4,22692,2025-08-17 20:22:21,10092,-1092,0,1,0
40,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,164,4,21755,2025-05-05 17:50:12,9155,-155,0,1,0
41,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,163,4,21685,2025-04-02 21:37:23,9085,-85,0,1,0
42,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,161,4,20840,2024-04-01 17:33:58,8240,760,0,1,0
43,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,3,4,19656,2025-05-10 14:52:35,7056,1944,0,1,0
44,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,53,4,18091,2024-10-17 19:34:05,5491,3509,0,1,0
45,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,246,4,17546,2025-09-13 21:37:49,4946,4054,1,1,1
46,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,221,4,17541,2025-01-02 22:35:24,4941,4059,2,1,0
47,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,83,4,17484,2025-04-26 08:41:12,4884,4116,3,1,0
48,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,133,4,17448,2025-04-25 20:59:46,4848,4152,0,1,0
49,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,895,4,17341,2025-09-10 21:50:48,4741,4259,4,1,1
50,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,8,4,15365,2025-04-19 21:40:02,2765,6235,0,1,0
51,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,12,4,15278,2025-03-02 21:25:53,2678,6322,1,1,0
52,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,6,4,15233,2025-03-30 12:55:21,2633,6367,1,1,0
53,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,36,4,15110,2021-06-20 09:54:35,2510,6490,0,1,0
54,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,104,4,14981,2025-05-04 08:59:56,2381,6619,0,1,0
