player,death_time,deaths_amount,kills_amount,total_damage_dealt,total_damage_to_champions,pentakills,quadra_kills,triple_kills,skillshots_hit,first_blood_kill,dragon_takedowns,team_baron_kills,total_minions_killed,wards_placed,wards_killed,individual_position,champion_name,kda,epic_monster_steals
Reive,291,10,7,183777,29605,0,0,0,,False,1,0,205,9,4,BOTTOM,Ashe,2.6,0
Reive,324,11,17,227140,46668,0,0,1,,False,1,0,273,11,3,BOTTOM,Kaisa,2.3636363636363638,0
Reive,165,4,9,365152,73863,0,0,0,,False,0,1,308,12,3,MIDDLE,Yone,7.0,0
Reive,275,8,13,132080,34603,0,0,0,,True,0,0,153,12,0,MIDDLE,Sylas,2.625,0
Reive,451,12,16,210559,58109,0,0,1,,True,1,2,216,6,0,MIDDLE,Sylas,2.25,0
Reive,96,4,12,171687,34977,0,0,0,,False,1,1,205,6,0,MIDDLE,Anivia,6.0,1
Reive,199,9,2,100025,18207,0,0,0,,False,0,0,164,3,0,MIDDLE,Orianna,0.5555555555555556,0
Reive,250,8,8,182693,41868,0,0,0,,False,2,0,202,6,2,MIDDLE,Aurora,2.25,0
Reive,96,4,11,147126,17834,0,0,0,,True,2,0,9,6,0,JUNGLE,LeeSin,4.75,0
Reive,122,3,10,166914,24039,0,0,0,,False,1,0,176,6,2,MIDDLE,Yone,5.333333333333333,0
Reive,0,0,5,70203,14297,0,0,0,,True,0,0,120,4,0,MIDDLE,Aurora,8.0,0
